1	Then Job answered the LORD, and said:
Psalm 124:6	Blessed be the LORD, Who hath not given us as a prey to their teeth.
Psalm 124:7	Our soul is escaped as a bird out of the snare of the fowlers; The snare is broken, and we are escaped.
Psalm 124:8	Our help is in the name of the LORD, Who made heaven and earth.
Psalm 125:1	A Song of Ascents. They that trust in the LORD Are as mount Zion, which cannot be moved, but abideth for ever.
Psalm 125:2	As the mountains are round about Jerusalem, So the LORD is round about His people, From this time forth and for ever.
Psalm 125:3	For the rod of wickedness shall not rest upon the lot of the righteous; That the righteous put not forth their hands unto iniquity.
Psalm 125:4	Do good, O LORD, unto the good, And to them that are upright in their hearts.
Psalm 125:5	But as for such as turn aside unto their crooked ways, The LORD will lead them away with the workers of iniquity. Peace be upon Israel.
Psalm 126:1	A Song of Ascents. When the LORD brought back those that returned to Zion, We were like unto them that dream.
Psalm 126:2	Then was our mouth filled with laughter, And our tongue with singing; Then said they among the nations: ‘The LORD hath done great things with these.’
Psalm 126:3	The LORD hath done great things with us; We are rejoiced.
Psalm 126:4	Turn our captivity, O LORD, As the streams in the dry land.
Psalm 126:5	They that sow in tears Shall reap in joy.
Psalm 126:6	Though he goeth on his way weeping that beareth the measure of seed, He shall come home with joy, bearing his sheaves.
Psalm 127:1	A Song of Ascents; of Solomon. Except the LORD build the house, They labour in vain that build it; Except the LORD keep the city, The watchman waketh but in vain.
Psalm 127:2	It is vain for you that ye rise early, and sit up late, Ye that eat the bread of toil; So He giveth unto His beloved in sleep.
Psalm 127:3	Lo, children are a heritage of the LORD; The fruit of the womb is a reward.
Psalm 127:4	As arrows in the hand of a mighty man, So are the children of one’s youth.
Psalm 127:5	Happy is the man that hath his quiver full of them; They shall not be put to shame, When they speak with their enemies in the gate.
Psalm 128:1	A Song of Ascents. Happy is every one that feareth the LORD, That walketh in His ways.
Psalm 128:2	When thou eatest the labour of thy hands, Happy shalt thou be, and it shall be well with thee.
Psalm 128:3	Thy wife shall be as a fruitful vine, in the innermost parts of thy house; Thy children like olive plants, round about thy table.
Psalm 128:4	Behold, surely thus shall the man be blessed That feareth the LORD.
Psalm 128:5	The LORD bless thee out of Zion; And see thou the good of Jerusalem all the days of thy life;
Psalm 128:6	And see thy children’s children. Peace be upon Israel!
Psalm 129:1	A Song of Ascents. ‘Much have they afflicted me from my youth up’, Let Israel now say;
Psalm 129:2	Much have they afflicted me from my youth up; But they have not prevailed against me.
Psalm 129:3	The plowers plowed upon my back; They made long their furrows.
Psalm 129:4	The LORD is righteous; He hath cut asunder the cords of the wicked.’
Psalm 129:5	Let them be ashamed and turned backward, All they that hate Zion.
Psalm 129:6	Let them be as the grass upon the housetops, Which withereth afore it springeth up;
Psalm 129:7	Wherewith the reaper filleth not his hand, Nor he that bindeth sheaves his bosom.
Psalm 129:8	Neither do they that go by say: ‘The blessing of the LORD be upon you; We bless you in the name of the LORD.’
Psalm 130:1	A Song of Ascents. Out of the depths have I called Thee, O LORD.
Psalm 130:2	Lord, hearken unto my voice; Let Thine ears be attentive To the voice of my supplications.
Psalm 130:3	If Thou, LORD, shouldest mark iniquities, O Lord, who could stand?
Psalm 130:4	For with Thee there is forgiveness, That Thou mayest be feared.
Psalm 130:5	I wait for the LORD, my soul doth wait, And in His word do I hope.
Psalm 130:6	My soul waiteth for the Lord, More than watchmen for the morning; Yea, more than watchmen for the morning.
Psalm 130:7	O Israel, hope in the LORD; For with the LORD there is mercy, And with Him is plenteous redemption.
Psalm 130:8	And He will redeem Israel From all his iniquities.
Psalm 131:1	A Song of Ascents; of David. LORD, my heart is not haughty, nor mine eyes lofty; Neither do I exercise myself in things too great, or in things too wonderful for me.
Psalm 131:2	Surely I have stilled and quieted my soul; Like a weaned child with his mother; My soul is with me like a weaned child.
Psalm 131:3	O Israel, hope in the LORD From this time forth and for ever.
Psalm 132:1	A Song of Ascents. LORD, remember unto David All his affliction;
Psalm 132:2	How he swore unto the LORD, And vowed unto the Mighty One of Jacob:
Psalm 132:3	Surely I will not come into the tent of my house, Nor go up into the bed that is spread for me;
Psalm 132:4	I will not give sleep to mine eyes, Nor slumber to mine eyelids;
Psalm 132:5	Until I find out a place for the LORD, A dwelling-place for the Mighty One of Jacob.’
Psalm 132:6	Lo, we heard of it as being in Ephrath; We found it in the field of the wood.
Psalm 132:7	Let us go into His dwelling-place; Let us worship at His footstool.
Psalm 132:8	Arise, O LORD, unto Thy resting-place; Thou, and the ark of Thy strength.
Psalm 132:9	Let Thy priests be clothed with righteousness; And let Thy saints shout for joy.
Psalm 132:10	For Thy servant David’s sake Turn not away the face of Thine anointed.
Psalm 132:11	The LORD swore unto David in truth; He will not turn back from it: ‘Of the fruit of thy body will I set upon thy throne.
Psalm 132:12	If thy children keep My covenant And My testimony that I shall teach them, Their children also for ever shall sit upon thy throne.’
Psalm 132:13	For the LORD hath chosen Zion; He hath desired it for His habitation:
Psalm 132:14	This is My resting-place for ever; Here will I dwell; for I have desired it.
Psalm 132:15	I will abundantly bless her provision; I will give her needy bread in plenty.
Psalm 132:16	Her priests also will I clothe with salvation; And her saints shall shout aloud for joy.
Psalm 132:17	There will I make a horn to shoot up unto David, There have I ordered a lamp for Mine anointed.
Psalm 132:18	His enemies will I clothe with shame; But upon himself shall his crown shine.’
Psalm 133:1	A Song of Ascents; of David. Behold, how good and how pleasant it is For brethren to dwell together in unity!
Psalm 133:2	It is like the precious oil upon the head, Coming down upon the beard; Even Aaron’s beard, That cometh down upon the collar of his garments;
Psalm 133:3	Like the dew of Hermon, That cometh down upon the mountains of Zion; For there the LORD commanded the blessing, Even life for ever.
Psalm 134:1	A Song of Ascents. Behold, bless ye the LORD, all ye servants of the LORD, That stand in the house of the LORD in the night seasons.
Psalm 134:2	Lift up your hands to the sanctuary, And bless ye the LORD.
Psalm 134:3	The LORD bless thee out of Zion; Even He that made heaven and earth.
Psalm 135:1	Hallelujah. Praise ye the name of the LORD; Give praise, O ye servants of the LORD,
Psalm 135:2	Ye that stand in the house of the LORD, In the courts of the house of our God.
Psalm 135:3	Praise ye the LORD, for the LORD is good; Sing praises unto His name, for it is pleasant.
Psalm 135:4	For the LORD hath chosen Jacob unto Himself, And Israel for His own treasure.
Psalm 135:5	For I know that the LORD is great, And that our Lord is above all gods.
Psalm 135:6	Whatsoever the LORD pleased, that hath He done, In heaven and in earth, in the seas and in all deeps;
Psalm 135:7	Who causeth the vapours to ascend from the ends of the earth; He maketh lightnings for the rain; He bringeth forth the wind out of His treasuries.
Psalm 135:8	Who smote the first-born of Egypt, Both of man and beast.
Psalm 135:9	He sent signs and wonders into the midst of thee, O Egypt, Upon Pharaoh, and upon all his servants.
Psalm 135:10	Who smote many nations, And slew mighty kings:
Psalm 135:11	Sihon king of the Amorites, And Og king of Bashan, And all the kingdoms of Canaan;
Psalm 135:12	And gave their land for a heritage, A heritage unto Israel His people.
Psalm 135:13	O LORD, Thy name endureth for ever; Thy memorial, O LORD, throughout all generations.
Psalm 135:14	For the LORD will judge His people, And repent Himself for His servants.
Psalm 135:15	The idols of the nations are silver and gold, The work of men’s hands.
Psalm 135:16	They have mouths, but they speak not; Eyes have they, but they see not;
Psalm 135:17	They have ears, but they hear not; Neither is there any breath in their mouths.
Psalm 135:18	They that make them shall be like unto them; Yea, every one that trusteth in them.
Psalm 135:19	O house of Israel, bless ye the LORD; O house of Aaron, bless ye the LORD;
Psalm 135:20	O house of Levi, bless ye the LORD; Ye that fear the LORD, bless ye the LORD.
Psalm 135:21	Blessed be the LORD out of Zion, Who dwelleth at Jerusalem. Hallelujah.
Psalm 136:1	O give thanks unto the LORD, for He is good, For His mercy endureth for ever.
Psalm 136:2	O give thanks unto the God of gods, For His mercy endureth for ever.
Psalm 136:3	O give thanks unto the Lord of lords, For His mercy endureth for ever.
Psalm 136:4	To Him who alone doeth great wonders, For His mercy endureth for ever.
Psalm 136:5	To Him that by understanding made the heavens, for His mercy endureth for ever.
Psalm 136:6	To Him that spread forth the earth above the waters, For His mercy endureth for ever.
Psalm 136:7	To Him that made great lights, For His mercy endureth for ever;
Psalm 136:8	The sun to rule by day, For His mercy endureth for ever;
Psalm 136:9	The moon and stars to rule by night, For His mercy endureth for ever.
Psalm 136:10	To Him that smote Egypt in their first-born, For His mercy endureth for ever;
Psalm 136:11	And brought out Israel from among them, For His mercy endureth for ever;
Psalm 136:12	With a strong hand, and with an outstretched arm, For His mercy endureth for ever.
Psalm 136:13	To Him who divided the Red Sea in sunder, For His mercy endureth for ever;
Psalm 136:14	And made Israel to pass through the midst of it, For His mercy endureth for ever;
Psalm 136:15	But overthrew Pharaoh and his host in the Red Sea, For His mercy endureth for ever.
Psalm 136:16	To Him that led His people through the wilderness, For His mercy endureth for ever.
Psalm 136:17	To Him that smote great kings; For His mercy endureth for ever;
Psalm 136:18	And slew mighty kings, For His mercy endureth for ever.
Psalm 136:19	Sihon king of the Amorites, For His mercy endureth for ever;
Psalm 136:20	And Og king of Bashan, For His mercy endureth for ever;
Psalm 136:21	And gave their land for a heritage, For His mercy endureth for ever;
Psalm 136:22	Even a heritage unto Israel His servant, For His mercy endureth for ever.
Psalm 136:23	Who remembered us in our low estate, For His mercy endureth for ever;
Psalm 136:24	And hath delivered us from our adversaries, For His mercy endureth for ever.
Psalm 136:25	Who giveth food to all flesh, For His mercy endureth for ever.
Psalm 136:26	O give thanks unto the God of heaven, For His mercy endureth for ever.
Psalm 137:1	By the rivers of Babylon, There we sat down, yea, we wept, When we remembered Zion.
Psalm 137:2	Upon the willows in the midst thereof We hanged up our harps.
Psalm 137:3	For there they that led us captive asked of us words of song, And our tormentors asked of us mirth: ‘Sing us one of the songs of Zion.’
