1	And Job answereth Jehovah and saith:—
Psalm 89:30	If his sons forsake My law, And in My judgments do not walk;
Psalm 89:31	If My statutes they pollute, And My commands do not keep,
Psalm 89:32	I have looked after with a rod their transgression, And with strokes their iniquity,
Psalm 89:33	And My kindness I break not from him, Nor do I deal falsely in My faithfulness.
Psalm 89:34	I profane not My covenant, And that which is going forth from My lips I change not.
Psalm 89:35	Once I have sworn by My holiness, I lie not to David,
Psalm 89:36	His seed is to the age, And his throne is as the sun before Me,
Psalm 89:37	As the moon it is established—to the age, And the witness in the sky is stedfast. Selah.
Psalm 89:38	And Thou, Thou hast cast off, and dost reject, Thou hast shown Thyself wroth With Thine anointed,
Psalm 89:39	Hast rejected the covenant of Thy servant, Thou hast polluted to the earth his crown,
Psalm 89:40	Thou hast broken down all his hedges, Thou hast made his fenced places a ruin.
Psalm 89:41	Spoiled him have all passing by the way, He hath been a reproach to his neighbours,
Psalm 89:42	Thou hast exalted the right hand of his adversaries, Thou hast caused all his enemies to rejoice.
Psalm 89:43	Also—Thou turnest back the sharpness of his sword, And hast not established him in battle,
Psalm 89:44	Hast caused him to cease from his brightness, And his throne to the earth hast cast down.
Psalm 89:45	Thou hast shortened the days of his youth, Hast covered him over with shame. Selah.
Psalm 89:46	Till when, O Jehovah, art Thou hidden? For ever doth Thy fury burn as fire?
Psalm 89:47	Remember, I pray Thee, what is life-time? Wherefore in vain hast Thou created All the sons of men?
Psalm 89:48	Who is the man that liveth, and doth not see death? He delivereth his soul from the hand of Sheol. Selah.
Psalm 89:49	Where are Thy former kindnesses, O Lord. Thou hast sworn to David in Thy faithfulness,
Psalm 89:50	Remember, O Lord, the reproach of Thy servants, I have borne in my bosom all the strivings of the peoples,
Psalm 89:51	Wherewith Thine enemies reproached, O Jehovah, Wherewith they have reproached The steps of Thine anointed.
Psalm 89:52	Blessed is Jehovah to the age. Amen, and amen!
Psalm 90:1	A Prayer of Moses, the man of God. Lord, a habitation Thou—Thou hast been, To us—in generation and generation,
Psalm 90:2	Before mountains were brought forth, And Thou dost form the earth and the world, Even from age unto age Thou art God.
Psalm 90:3	Thou turnest man unto a bruised thing, And sayest, Turn back, ye sons of men.
Psalm 90:4	For a thousand years in Thine eyes are as yesterday, For it passeth on, yea, a watch by night.
Psalm 90:5	Thou hast inundated them, they are asleep, In the morning as grass he changeth.
Psalm 90:6	In the morning it flourisheth, and hath changed, At evening it is cut down, and hath withered.
Psalm 90:7	For we were consumed in Thine anger, And in Thy fury we have been troubled.
Psalm 90:8	Thou hast set our iniquities before Thee, Our hidden things at the light of Thy face,
Psalm 90:9	For all our days pined away in Thy wrath, We consumed our years as a meditation.
Psalm 90:10	Days of our years, in them are seventy years, And if, by reason of might, eighty years, Yet is their enlargement labour and vanity, For it hath been cut off hastily, and we fly away.
Psalm 90:11	Who knoweth the power of Thine anger? And according to Thy fear—Thy wrath?
Psalm 90:12	To number our days aright let us know, And we bring the heart to wisdom.
Psalm 90:13	Turn back, O Jehovah, till when? And repent concerning Thy servants.
Psalm 90:14	Satisfy us at morn with Thy kindness, And we sing and rejoice all our days.
Psalm 90:15	Cause us to rejoice according to the days Wherein Thou hast afflicted us, The years we have seen evil.
Psalm 90:16	Let Thy work appear unto Thy servants, And Thine honour on their sons.
Psalm 90:17	And let the pleasantness of Jehovah our God be upon us, And the work of our hands establish on us, Yea, the work of our hands establish it!
Psalm 91:1	He who is dwelling In the secret place of the Most High, In the shade of the Mighty lodgeth habitually,
Psalm 91:2	He is saying of Jehovah, ‘My refuge, and my bulwark, my God, I trust in Him,’
Psalm 91:3	For He delivereth thee from the snare of a fowler, From a calamitous pestilence.
Psalm 91:4	With His pinion He covereth thee over, And under His wings thou dost trust, A shield and buckler is His truth.
Psalm 91:5	Thou art not afraid of fear by night, Of arrow that flieth by day,
Psalm 91:6	Of pestilence in thick darkness that walketh, Of destruction that destroyeth at noon,
Psalm 91:7	There fall at thy side a thousand, And a myriad at thy right hand, Unto thee it cometh not nigh.
Psalm 91:8	But with thine eyes thou lookest, And the reward of the wicked thou seest,
Psalm 91:9	(For Thou, O Jehovah, art my refuge,) The Most High thou madest thy habitation.
Psalm 91:10	Evil happeneth not unto thee, And a plague cometh not near thy tent,
Psalm 91:11	For His messengers He chargeth for thee, To keep thee in all thy ways,
Psalm 91:12	On the hands they bear thee up, Lest thou smite against a stone thy foot.
Psalm 91:13	On lion and asp thou treadest, Thou trampest young lion and dragon.
Psalm 91:14	Because in Me he hath delighted, I also deliver him—I set him on high, Because he hath known My name.
Psalm 91:15	He doth call Me, and I answer him, I am with him in distress, I deliver him, and honour him.
Psalm 91:16	With length of days I satisfy him, And I cause him to look on My salvation!
Psalm 92:1	A Psalm.—A Song for the sabbath-day. Good to give thanks to Jehovah, And to sing praises to Thy name, O Most High,
Psalm 92:2	To declare in the morning Thy kindness, And Thy faithfulness in the nights.
Psalm 92:3	On ten strings and on psaltery, On higgaion, with harp.
Psalm 92:4	For Thou hast caused me to rejoice, O Jehovah, in Thy work, Concerning the works of Thy hands I sing.
Psalm 92:5	How great have been Thy works, O Jehovah, Very deep have been Thy thoughts.
Psalm 92:6	A brutish man doth not know, And a fool understandeth not this;—
Psalm 92:7	When the wicked flourish as a herb, And blossom do all workers of iniquity—For their being destroyed for ever and ever!
Psalm 92:8	And Thou art high to the age, O Jehovah.
Psalm 92:9	For, lo, Thine enemies, O Jehovah, For, lo, Thine enemies, do perish, Separate themselves do all workers of iniquity.
Psalm 92:10	And Thou exaltest as a reem my horn, I have been anointed with fresh oil.
Psalm 92:11	And mine eye looketh on mine enemies, Of those rising up against me, The evil doers, do mine ears hear.
Psalm 92:12	The righteous as a palm-tree flourisheth, As a cedar in Lebanon he groweth.
Psalm 92:13	Those planted in the house of Jehovah, In the courts of our God do flourish.
Psalm 92:14	Still they bring forth in old age, Fat and flourishing are they,
Psalm 92:15	To declare that upright is Jehovah my rock, And there is no perverseness in Him!
Psalm 93:1	Jehovah hath reigned, Excellency He hath put on, Jehovah put on strength, He girded Himself, Also—established is the world, unmoved.
Psalm 93:2	Established is Thy throne since then, From the age Thou art.
Psalm 93:3	Floods have lifted up, O Jehovah, Floods have lifted up their voice, Floods lift up their breakers.
Psalm 93:4	Than the voices of many mighty waters, Breakers of a sea, mighty on high is Jehovah,
Psalm 93:5	Thy testimonies have been very stedfast, To Thy house comely is holiness, O Jehovah, for length of days!
Psalm 94:1	God of vengeance—Jehovah! God of vengeance, shine forth.
Psalm 94:2	Be lifted up, O Judge of the earth, Send back a recompence on the proud.
Psalm 94:3	Till when do the wicked, O Jehovah? Till when do the wicked exult?
Psalm 94:4	They utter—they speak an old saw, All working iniquity do boast themselves.
Psalm 94:5	Thy people, O Jehovah, they bruise, And Thine inheritance they afflict.
Psalm 94:6	Widow and sojourner they slay, And fatherless ones they murder.
Psalm 94:7	And they say, ‘Jehovah doth not see, And the God of Jacob doth not consider.’
Psalm 94:8	Consider, ye brutish among the people, And ye foolish, when do ye act wisely?
Psalm 94:9	He who planteth the ear doth He not hear? He who formeth the eye doth He not see?
Psalm 94:10	He who is instructing nations, Doth He not reprove? He who is teaching man knowledge is Jehovah.
Psalm 94:11	He knoweth the thoughts of man, that they are vanity.
Psalm 94:12	O the happiness of the man Whom Thou instructest, O Jah, And out of Thy law teachest him,
Psalm 94:13	To give rest to him from days of evil, While a pit is digged for the wicked.
Psalm 94:14	For Jehovah leaveth not His people, And His inheritance forsaketh not.
Psalm 94:15	For to righteousness judgment turneth back, And after it all the upright of heart,
Psalm 94:16	Who riseth up for me with evil doers? Who stationeth himself for me with workers of iniquity?
Psalm 94:17	Unless Jehovah were a help to me, My soul had almost inhabited silence.
Psalm 94:18	If I have said, ‘My foot hath slipped,’ Thy kindness, O Jehovah, supporteth me.
Psalm 94:19	In the abundance of my thoughts within me, Thy comforts delight my soul.
Psalm 94:20	Is a throne of mischief joined with Thee? A framer of perverseness by statute?
Psalm 94:21	They decree against the soul of the righteous, And innocent blood declare wicked.
Psalm 94:22	And Jehovah is for a high place to me, And my God is for a rock—my refuge,
Psalm 94:23	And turneth back on them their iniquity, And in their wickedness cutteth them off; Jehovah our God doth cut them off!
Psalm 95:1	Come, we sing to Jehovah, We shout to the rock of our salvation.
Psalm 95:2	We come before His face with thanksgiving, With psalms we shout to Him.
Psalm 95:3	For a great God is Jehovah, And a great king over all gods.
Psalm 95:4	In whose hand are the deep places of earth, And the strong places of hills are His.
Psalm 95:5	Whose is the sea, and He made it, And His hands formed the dry land.
Psalm 95:6	Come in, we bow ourselves, and we bend, We kneel before Jehovah our Maker.
Psalm 95:7	For He is our God, and we the people of His pasture, And the flock of His hand, To-day, if to His voice ye hearken,
Psalm 95:8	Harden not your heart as in Meribah, As in the day of Massah in the wilderness,
Psalm 95:9	Where your fathers have tried Me, Have proved Me, yea, have seen My work.
Psalm 95:10	Forty years I am weary of the generation, And I say, ‘A people erring in heart—they! And they have not known My ways:’
Psalm 95:11	Where I sware in Mine anger, ‘If they come in unto My rest—!’
Psalm 96:1	Sing to Jehovah a new song, Sing to Jehovah all the earth.
Psalm 96:2	Sing to Jehovah, bless His name, Proclaim from day to day His salvation.
Psalm 96:3	Declare among nations His honour, Among all the peoples His wonders.
Psalm 96:4	For great is Jehovah, and praised greatly, Fearful He is over all gods.
Psalm 96:5	For all the gods of the peoples are nought, And Jehovah made the heavens.
Psalm 96:6	Honour and majesty are before Him, Strength and beauty in His sanctuary.
Psalm 96:7	Ascribe to Jehovah, O families of the peoples, Ascribe to Jehovah honour and strength.
Psalm 96:8	Ascribe to Jehovah the honour of His name, Lift up a present and come in to His courts.
Psalm 96:9	Bow yourselves to Jehovah, In the honour of holiness, Be afraid of His presence, all the earth.
Psalm 96:10	Say among nations, ‘Jehovah hath reigned, Also—established is the world, unmoved, He judgeth the peoples in uprightness.’
Psalm 96:11	The heavens joy, and the earth is joyful, The sea and its fulness roar.
Psalm 96:12	The field exulteth, and all that is in it, Then sing do all trees of the forest,
Psalm 96:13	Before Jehovah, for He hath come, For He hath come to judge the earth. He judgeth the world in righteousness, And the peoples in His faithfulness!
Psalm 97:1	Jehovah hath reigned, The earth is joyful, many isles rejoice.
Psalm 97:2	Cloud and darkness are round about Him, Righteousness and judgment the basis of His throne.
